Year,Timestep,EcoregionName,EcoregionIndex,ppt,min_airtemp,max_airtemp,std_ppt,std_temp,winddirection,windspeed,ndeposition,
1895, 1, MN100, 0, 2.45, -14.86, -2.49, 0.13, 0.72, 0, 0, -99, 
1895, 2, MN100, 0, 2.54, -12.74, 3.11, 0.22, 0.69, 0, 0, -99, 
1895, 3, MN100, 0, 1.4, -5.56, 10, 0.16, 0.67, 0, 0, -99, 
1895, 4, MN100, 0, 4.37, 8.47, 24.95, 0.61, 0.53, 0, 0, -99, 
1895, 5, MN100, 0, 11.65, 12.67, 28.72, 0.74, 0.33, 0, 0, -99, 
1895, 6, MN100, 0, 14.23, 17.71, 32.78, 1.63, 0.29, 0, 0, -99, 
1895, 7, MN100, 0, 12.32, 19.16, 33.95, 1.46, 0.38, 0, 0, -99, 
1895, 8, MN100, 0, 7.35, 18.51, 33.22, 0.67, 0.52, 0, 0, -99, 
1895, 9, MN100, 0, 12.53, 15.66, 29.12, 1.84, 0.48, 0, 0, -99, 
1895, 10, MN100, 0, 1.79, 6.02, 19.96, 0.27, 0.39, 0, 0, -99, 
1895, 11, MN100, 0, 4.21, -0.82, 10.77, 0.31, 0.42, 0, 0, -99, 
1895, 12, MN100, 0, 2.09, -6.65, 5.48, 0.15, 0.55, 0, 0, -99, 
1896, 1, MN100, 0, 3.47, -9.92, 0.88, 0.25, 1.08, 0, 0, -99, 
1896, 2, MN100, 0, 1.83, -9.31, 5.12, 0.25, 0.61, 0, 0, -99, 
1896, 3, MN100, 0, 4.84, -5.62, 8.11, 0.41, 0.71, 0, 0, -99, 
1896, 4, MN100, 0, 12.35, 7.29, 19.83, 1.2, 0.33, 0, 0, -99, 
1896, 5, MN100, 0, 15.53, 15.01, 29.12, 0.95, 0.36, 0, 0, -99, 
1896, 6, MN100, 0, 7.48, 17.95, 33.75, 0.56, 0.55, 0, 0, -99, 
1896, 7, MN100, 0, 8.71, 20.19, 36.69, 0.71, 0.39, 0, 0, -99, 
1896, 8, MN100, 0, 9.5, 18.59, 35.35, 1.02, 0.42, 0, 0, -99, 
1896, 9, MN100, 0, 5.86, 13.32, 27.98, 0.43, 0.37, 0, 0, -99, 
1896, 10, MN100, 0, 10.13, 7.03, 19.66, 1.19, 0.51, 0, 0, -99, 
1896, 11, MN100, 0, 6.98, -4.2, 5.36, 0.7, 0.54, 0, 0, -99, 
1896, 12, MN100, 0, 3.46, -4.98, 6.52, 0.36, 0.48, 0, 0, -99, 
1897, 1, MN100, 0, 6.11, -14.35, 0.35, 0.52, 0.79, 0, 0, -99, 
1897, 2, MN100, 0, 6.12, -9.18, 5.29, 0.61, 0.76, 0, 0, -99, 
1897, 3, MN100, 0, 4.24, -5.75, 8.18, 0.6, 0.71, 0, 0, -99, 
1897, 4, MN100, 0, 2.57, 6.19, 20.49, 0.37, 0.49, 0, 0, -99, 
1897, 5, MN100, 0, 5.03, 11.46, 27.35, 0.62, 0.75, 0, 0, -99, 
1897, 6, MN100, 0, 10.65, 16.22, 30.89, 1.13, 0.58, 0, 0, -99, 
1897, 7, MN100, 0, 22.33, 22.15, 36.24, 1.44, 0.4, 0, 0, -99, 
1897, 8, MN100, 0, 9.41, 18.15, 32.48, 0.75, 0.67, 0, 0, -99, 
1897, 9, MN100, 0, 5.47, 17.88, 33.46, 1.29, 0.92, 0, 0, -99, 
1897, 10, MN100, 0, 5.31, 10.64, 22.01, 0.54, 0.51, 0, 0, -99, 
1897, 11, MN100, 0, 2.03, -2.21, 9.24, 0.21, 0.5, 0, 0, -99, 
1897, 12, MN100, 0, 2.5, -11.87, 1.36, 0.14, 0.75, 0, 0, -99, 
1898, 1, MN100, 0, 2.12, -9.76, 5.38, 0.38, 0.89, 0, 0, -99, 
1898, 2, MN100, 0, 2.52, -10.25, 6.4, 0.19, 0.89, 0, 0, -99, 
1898, 3, MN100, 0, 2.74, -1.72, 12.33, 0.34, 0.92, 0, 0, -99, 
1898, 4, MN100, 0, 2.62, 4.59, 19.71, 0.25, 0.97, 0, 0, -99, 
1898, 5, MN100, 0, 8.11, 11.66, 26.72, 0.53, 0.75, 0, 0, -99, 
1898, 6, MN100, 0, 15.65, 17.91, 33.54, 1.03, 0.35, 0, 0, -99, 
1898, 7, MN100, 0, 11.3, 20.07, 36.04, 1.85, 0.47, 0, 0, -99, 
1898, 8, MN100, 0, 8.74, 19.37, 33.6, 0.44, 0.31, 0, 0, -99, 
1898, 9, MN100, 0, 6.95, 15.36, 30.05, 0.79, 0.75, 0, 0, -99, 
1898, 10, MN100, 0, 8.52, 8.49, 18.68, 0.71, 0.56, 0, 0, -99, 
1898, 11, MN100, 0, 3.57, -1.27, 10.2, 0.21, 0.44, 0, 0, -99, 
1898, 12, MN100, 0, 1.9, -11.08, 2.98, 0.08, 0.4, 0, 0, -99, 
1899, 1, MN100, 0, 2.26, -14.6, -0.83, 0.24, 0.89, 0, 0, -99, 
1899, 2, MN100, 0, 2.35, -15.41, -0.58, 0.24, 0.58, 0, 0, -99, 
1899, 3, MN100, 0, 2.79, -11.35, 4.77, 0.17, 0.89, 0, 0, -99, 
1899, 4, MN100, 0, 5.29, 6.19, 21.24, 0.31, 0.47, 0, 0, -99, 
1899, 5, MN100, 0, 13.11, 11.85, 26.04, 0.69, 0.61, 0, 0, -99, 
1899, 6, MN100, 0, 15.7, 18.07, 32.75, 0.59, 0.42, 0, 0, -99, 
1899, 7, MN100, 0, 11.39, 20.57, 35.92, 1.02, 0.41, 0, 0, -99, 
1899, 8, MN100, 0, 15.5, 20.68, 33.95, 1.67, 0.32, 0, 0, -99, 
1899, 9, MN100, 0, 8.87, 13.31, 27.67, 0.46, 0.49, 0, 0, -99, 
1899, 10, MN100, 0, 9.27, 10.46, 22.27, 0.66, 0.35, 0, 0, -99, 
1899, 11, MN100, 0, 2.44, 6.19, 16.97, 0.31, 0.87, 0, 0, -99, 
1899, 12, MN100, 0, 3.35, -6.63, 5.81, 0.42, 0.52, 0, 0, -99, 
1900, 1, MN100, 0, 2.57, -7.83, 6.1, 0.12, 0.71, 0, 0, -99, 
1900, 2, MN100, 0, 1.64, -16.26, 0.43, 0.13, 0.73, 0, 0, -99, 
1900, 3, MN100, 0, 1.78, -5.5, 9.73, 0.2, 0.56, 0, 0, -99, 
1900, 4, MN100, 0, 2.26, 8.53, 26.27, 0.1, 0.54, 0, 0, -99, 
1900, 5, MN100, 0, 3.66, 12.8, 31.01, 0.29, 0.71, 0, 0, -99, 
1900, 6, MN100, 0, 3.46, 17.84, 34.91, 0.54, 0.36, 0, 0, -99, 
1900, 7, MN100, 0, 10.48, 18.8, 34.97, 1.07, 0.37, 0, 0, -99, 
1900, 8, MN100, 0, 21.05, 23.44, 37.15, 1.31, 0.35, 0, 0, -99, 
1900, 9, MN100, 0, 17.03, 16.24, 28.99, 2.37, 0.43, 0, 0, -99, 
1900, 10, MN100, 0, 8.14, 14.05, 26.81, 0.59, 0.4, 0, 0, -99, 
1900, 11, MN100, 0, 2.25, -0.81, 9.59, 0.15, 0.58, 0, 0, -99, 
1900, 12, MN100, 0, 2.16, -6.3, 4.7, 0.22, 0.44, 0, 0, -99, 
1901, 1, MN100, 0, 1.64, -12.4, 2.8, 0.11, 0.7, 0, 0, -99, 
1901, 2, MN100, 0, 1.87, -13.83, 2.48, 0.13, 0.98, 0, 0, -99, 
1901, 3, MN100, 0, 7.3, -3.6, 10.79, 0.38, 0.57, 0, 0, -99, 
1901, 4, MN100, 0, 4.37, 7.42, 22.41, 0.29, 0.31, 0, 0, -99, 
1901, 5, MN100, 0, 4.2, 13.25, 30.71, 0.25, 0.64, 0, 0, -99, 
1901, 6, MN100, 0, 20.89, 18.03, 32.59, 0.74, 0.26, 0, 0, -99, 
1901, 7, MN100, 0, 11.02, 22.54, 36.78, 0.68, 0.28, 0, 0, -99, 
1901, 8, MN100, 0, 5.92, 20.16, 35.56, 0.32, 0.53, 0, 0, -99, 
1901, 9, MN100, 0, 5.72, 14.1, 29.3, 0.63, 0.46, 0, 0, -99, 
1901, 10, MN100, 0, 7.59, 8.77, 24.06, 1.54, 0.39, 0, 0, -99, 
1901, 11, MN100, 0, 3.95, -0.56, 10.67, 0.59, 0.53, 0, 0, -99, 
1901, 12, MN100, 0, 2.49, -9.23, 2.06, 0.12, 0.36, 0, 0, -99, 
1902, 1, MN100, 0, 2.01, -10.31, 4.63, 0.15, 0.73, 0, 0, -99, 
1902, 2, MN100, 0, 1.92, -9.21, 5.97, 0.18, 0.72, 0, 0, -99, 
1902, 3, MN100, 0, 2.84, 1.08, 16, 0.16, 0.46, 0, 0, -99, 
1902, 4, MN100, 0, 3.86, 5.25, 20.46, 0.29, 0.46, 0, 0, -99, 
1902, 5, MN100, 0, 13.51, 13.92, 28.68, 0.56, 0.49, 0, 0, -99, 
1902, 6, MN100, 0, 8.11, 16.03, 31.74, 0.78, 0.52, 0, 0, -99, 
1902, 7, MN100, 0, 10.54, 20.59, 36.38, 0.7, 0.48, 0, 0, -99, 
1902, 8, MN100, 0, 11.93, 17.94, 33.21, 1.4, 0.53, 0, 0, -99, 
1902, 9, MN100, 0, 5.96, 13.05, 27.59, 0.68, 0.59, 0, 0, -99, 
1902, 10, MN100, 0, 6.23, 8.39, 22.03, 0.3, 0.43, 0, 0, -99, 
1902, 11, MN100, 0, 5.89, 3.62, 12.57, 0.55, 0.42, 0, 0, -99, 
1902, 12, MN100, 0, 4.81, -9.82, 3.52, 0.48, 0.5, 0, 0, -99, 
1903, 1, MN100, 0, 2.86, -13.08, 2.52, 0.16, 0.69, 0, 0, -99, 
1903, 2, MN100, 0, 2.62, -13, 4.56, 0.44, 0.57, 0, 0, -99, 
1903, 3, MN100, 0, 3.42, -1.08, 12.45, 0.59, 0.6, 0, 0, -99, 
1903, 4, MN100, 0, 6.96, 6.37, 20.59, 1.28, 0.39, 0, 0, -99, 
1903, 5, MN100, 0, 9.93, 13.42, 28.33, 0.43, 0.6, 0, 0, -99, 
1903, 6, MN100, 0, 4.7, 15.94, 33.4, 0.21, 0.37, 0, 0, -99, 
1903, 7, MN100, 0, 10.05, 19.96, 34.44, 1.42, 0.64, 0, 0, -99, 
1903, 8, MN100, 0, 11.61, 17.49, 31.59, 1.02, 0.85, 0, 0, -99, 
1903, 9, MN100, 0, 15.09, 13.31, 27.79, 0.9, 0.56, 0, 0, -99, 
1903, 10, MN100, 0, 10.67, 9.3, 24.51, 0.59, 0.58, 0, 0, -99, 
1903, 11, MN100, 0, 3.76, -2.69, 8.53, 0.47, 0.85, 0, 0, -99, 
1903, 12, MN100, 0, 4.07, -13.86, 0.17, 0.64, 0.44, 0, 0, -99, 
1904, 1, MN100, 0, 1.67, -16.62, -1.83, 0.11, 0.93, 0, 0, -99, 
1904, 2, MN100, 0, 3.43, -17.93, -1.62, 0.26, 0.85, 0, 0, -99, 
1904, 3, MN100, 0, 6.38, -5.19, 9.03, 0.65, 0.67, 0, 0, -99, 
1904, 4, MN100, 0, 2.74, 3.88, 16.86, 0.3, 0.51, 0, 0, -99, 
1904, 5, MN100, 0, 4.38, 11.51, 27.4, 0.27, 0.49, 0, 0, -99, 
