Year	Month	PDSI
2000	1	3.666576
2000	2	0.5331982
2000	3	5.880105
2000	4	2.942633
2000	5	4.381177
2000	6	0.4977259
2000	7	2.420861
2000	8	1.518062
2000	9	-3.762948
2000	10	-3.431658
2000	11	-5.438645
2000	12	2.20145
2001	1	-5.488145
2001	2	0.333544
2001	3	-0.7470942
2001	4	1.68443
2001	5	5.837856
2001	6	-1.328258
2001	7	-3.386678
2001	8	5.908019
2001	9	5.604665
2001	10	-5.412928
2001	11	5.52995
2001	12	0.8126983
2002	1	-2.258103
2002	2	3.222081
2002	3	2.959619
2002	4	3.809359
2002	5	5.711194
2002	6	4.959803
2002	7	4.72885
2002	8	1.27085
2002	9	2.871844
2002	10	-0.05783211
2002	11	-1.668524
2002	12	1.219692
2003	1	3.58114
2003	2	1.16819
2003	3	4.403608
2003	4	1.610158
2003	5	5.204901
2003	6	-5.977215
2003	7	4.368704
2003	8	-3.031854
2003	9	0.9004093
2003	10	-0.4232818
2003	11	4.375129
2003	12	0.6530863
2004	1	-5.134451
2004	2	-4.042734
2004	3	2.41374
2004	4	-2.650167
2004	5	0.08905829
2004	6	2.442942
2004	7	-5.697819
2004	8	-4.43771
2004	9	4.762383
2004	10	-1.530669
2004	11	2.064473
2004	12	-0.6847809
2005	1	0.3026651
2005	2	-0.7020959
2005	3	-0.3757819
2005	4	-5.620553
2005	5	5.980909
2005	6	-1.78912
2005	7	1.970131
2005	8	4.623634
2005	9	-1.998576
2005	10	-1.103001
2005	11	-2.684737
2005	12	3.851256
2006	1	-4.11851
2006	2	-3.307306
2006	3	-3.503715
2006	4	3.002156
2006	5	-0.9239462
2006	6	-4.354266
2006	7	1.736197
2006	8	5.082977
2006	9	-2.787517
2006	10	-2.847104
2006	11	-2.938258
2006	12	-0.3230225
2007	1	-4.741779
2007	2	3.227703
2007	3	-1.101232
2007	4	3.812125
2007	5	-5.017365
2007	6	-4.490107
2007	7	-0.6011029
2007	8	-0.4990345
2007	9	-3.043728
2007	10	0.941578
2007	11	-3.916274
2007	12	2.219066
2008	1	3.32622
2008	2	-5.530694
2008	3	-0.7706229
2008	4	-1.596888
2008	5	3.666576
2008	6	0.5331982
2008	7	5.880105
2008	8	2.942633
2008	9	4.381177
2008	10	0.4977259
2008	11	2.420861
2008	12	1.518062
2009	1	-3.762948
2009	2	-3.431658
2009	3	-5.438645
2009	4	2.20145
2009	5	-5.488145
2009	6	0.333544
2009	7	-0.7470942
2009	8	1.68443
2009	9	5.837856
2009	10	-1.328258
2009	11	-3.386678
2009	12	5.908019
2010	1	5.604665
2010	2	-5.412928
2010	3	5.52995
2010	4	0.8126983
2010	5	-2.258103
2010	6	3.222081
2010	7	2.959619
2010	8	3.809359
2010	9	5.711194
2010	10	4.959803
2010	11	4.72885
2010	12	1.27085
2011	1	2.871844
2011	2	-0.05783211
2011	3	-1.668524
2011	4	1.219692
2011	5	3.58114
2011	6	1.16819
2011	7	4.403608
2011	8	1.610158
2011	9	5.204901
2011	10	-5.977215
2011	11	4.368704
2011	12	-3.031854
2012	1	0.9004093
2012	2	-0.4232818
2012	3	4.375129
2012	4	0.6530863
2012	5	-5.134451
2012	6	-4.042734
2012	7	2.41374
2012	8	-2.650167
2012	9	0.08905829
2012	10	2.442942
2012	11	-5.697819
2012	12	-4.43771
2013	1	4.762383
2013	2	-1.530669
2013	3	2.064473
2013	4	-0.6847809
2013	5	0.3026651
2013	6	-0.7020959
2013	7	-0.3757819
2013	8	-5.620553
2013	9	5.980909
2013	10	-1.78912
2013	11	1.970131
2013	12	4.623634
2014	1	-1.998576
2014	2	-1.103001
2014	3	-2.684737
2014	4	3.851256
2014	5	-4.11851
2014	6	-3.307306
2014	7	-3.503715
2014	8	3.002156
2014	9	-0.9239462
2014	10	-4.354266
2014	11	1.736197
2014	12	5.082977
2015	1	-2.787517
2015	2	-2.847104
2015	3	-2.938258
2015	4	-0.3230225
2015	5	-4.741779
2015	6	3.227703
2015	7	-1.101232
2015	8	3.812125
2015	9	-5.017365
2015	10	-4.490107
2015	11	-0.6011029
2015	12	-0.4990345
2016	1	-3.043728
2016	2	0.941578
2016	3	-3.916274
2016	4	2.219066
2016	5	3.32622
2016	6	-5.530694
2016	7	-0.7706229
2016	8	-1.596888
2016	9	3.666576
2016	10	0.5331982
2016	11	5.880105
2016	12	2.942633
